Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Aurora Aurora,14,60,96%,9,5,64%,5.6,3.5,33:36:00,7.6,684,394,-2.6,-7,-94
Yone Yone,28,45,95%,18,10,64%,4.3,3.4,32:14:00,9.5,645,442,5.4,303,265
Skarner Skarner,32,35,87%,23,9,72%,5.7,3.9,32:02:00,5.9,346,338,-0.8,11,82
Jax Jax,35,28,82%,19,16,54%,3,5.2,34:25:00,8,440,402,-5.1,38,-164
Ashe Ashe,18,43,79%,13,5,72%,6.2,6.1,33:30:00,9.5,553,444,-2.8,-156,17
Rell Rell,42,16,75%,20,22,48%,2.6,8.7,33:53:00,1.1,130,243,0,-53,-114
Kalista Kalista,17,39,73%,10,7,59%,4.2,5.1,34:51:00,9.2,554,438,-5.4,-195,-385
Kaisa Kaisa,29,26,71%,16,13,55%,5.7,7.9,32:52:00,10,742,467,-4.6,-274,-132
Gnar Gnar,30,20,65%,19,11,63%,3.3,4.6,32:45:00,8.1,509,407,-0.5,-167,-190
Ziggs Ziggs,9,36,58%,4,5,44%,4.7,4.7,31:14:00,9.8,728,431,5.6,87,480
Ezreal Ezreal,22,21,56%,12,10,55%,5.1,8,32:58:00,9.8,849,443,1.5,27,132
Orianna Orianna,19,24,56%,8,11,42%,4,4.4,33:25:00,8.4,565,386,4.7,-86,17
Poppy Poppy,15,27,55%,4,11,27%,2.5,6.2,35:30:00,3.7,262,281,-2.3,-60,-157
Rumble Rumble,22,20,55%,12,10,55%,3.3,4,32:57:00,7.6,647,383,7,105,279
Vi Vi,24,18,55%,10,14,42%,2.3,5.4,33:15:00,6.2,289,340,-2,-23,74
Renekton Renekton,16,22,49%,4,12,25%,1.6,4,33:54:00,7.8,426,375,2.6,40,150
Rakan Rakan,21,17,49%,14,7,67%,5.3,7.3,31:08:00,1.2,142,258,-1.5,99,-99
Sejuani Sejuani,23,12,45%,10,13,43%,3.3,6.1,33:01:00,5.5,304,316,-4.2,-126,-195
Ahri Ahri,25,8,43%,11,14,44%,4.9,4.5,33:26:00,8.7,604,409,1.1,94,28
Leona Leona,22,11,43%,12,10,55%,2.5,9,34:22:00,1.1,175,239,-2,-268,-176
Renata Glasc Renata Glasc,13,17,39%,6,7,46%,3.8,7.5,35:17:00,1.2,173,252,-1.9,321,332
Jhin Jhin,18,9,35%,5,13,28%,4.4,8.2,32:56:00,9.7,577,413,4.2,128,77
Xayah Xayah,11,16,35%,7,4,64%,4.1,7.3,32:06:00,10.4,664,465,3.3,459,143
Sylas Sylas,15,12,35%,9,6,60%,4.1,5.2,34:21:00,8.4,490,405,-0.6,-74,106
Smolder Smolder,14,13,35%,5,9,36%,3.2,5.8,33:28:00,9.8,835,435,-4,-220,-356
Nocturne Nocturne,20,6,34%,8,12,40%,3.6,5.8,33:00:00,6.4,313,347,4.2,62,-25
Maokai Maokai,17,8,32%,9,8,53%,3.1,6.6,32:24:00,4.3,294,294,-10,-491,-379
KSante KSante,11,12,30%,5,6,45%,3.1,7.3,32:51:00,7.3,483,373,-3.8,-57,234
Ivern Ivern,4,18,29%,2,2,50%,4.4,2.5,37:18:00,5.8,168,332,-2,339,-134
Alistar Alistar,14,7,27%,5,9,36%,2.4,8.6,31:44:00,1.1,115,227,3.5,-73,289
Neeko Neeko,9,10,25%,5,4,56%,3.3,4.7,30:39:00,5.8,528,351,3.9,512,261
Braum Braum,10,8,23%,7,3,70%,3.8,7.4,34:24:00,1.1,157,241,3.3,238,512
Nidalee Nidalee,4,13,22%,2,2,50%,7.5,3,31:21:00,7.4,645,400,9.5,292,332
Lucian Lucian,5,11,21%,0,5,0%,2,6.2,37:46:00,8.5,604,389,-5,-30,-44
Miss Fortune Miss Fortune,11,4,19%,3,8,27%,3.1,9.5,34:35:00,9.6,686,435,0.9,117,-98
Tristana Tristana,8,5,17%,3,5,38%,3.1,8,32:28:00,9,588,428,-8.5,-385,-371
Nautilus Nautilus,8,4,16%,3,5,38%,1.6,9,29:06:00,1.2,183,242,0,-38,-388
Akali Akali,8,2,13%,2,6,25%,2.2,3,28:27:00,8.1,512,379,-10,-740,-309
Brand Brand,3,7,13%,2,1,67%,8.5,5.9,34:13:00,6.9,581,380,21.3,1259,973
Galio Galio,8,2,13%,6,2,75%,4.5,7.5,34:58:00,7.6,451,374,2.2,599,381
LeBlanc LeBlanc,3,7,13%,3,0,100%,5.4,5,37:53:00,7.9,765,425,7.3,361,579
Wukong Wukong,6,4,13%,3,3,50%,3.4,7.8,32:25:00,6,373,347,-2.2,160,-160
Xin Zhao Xin Zhao,7,2,12%,3,4,43%,3.4,8,34:04:00,6.4,386,340,2.6,285,-137
Shyvana Shyvana,0,8,10%,,,,,2.1,,,,,,,
Syndra Syndra,6,2,10%,2,4,33%,2.6,8,34:41:00,8,570,386,-0.3,-532,-376
Varus Varus,6,1,9%,3,3,50%,3.5,9,36:21:00,9.1,710,441,7.2,364,-79
Amumu Amumu,3,3,8%,0,3,0%,1.9,8,36:46:00,5.8,449,317,13.3,-227,265
Cassiopeia Cassiopeia,3,3,8%,1,2,33%,2.4,7,36:09:00,8.7,467,378,-1,-573,-462
Draven Draven,2,3,6%,1,1,50%,2.5,7.7,26:36:00,9.1,573,512,-11,1220,-90
Gragas Gragas,4,1,6%,3,1,75%,6.8,9,31:15:00,7.5,394,372,10.8,177,309
Olaf Olaf,3,2,6%,1,2,33%,1.6,7.5,33:13:00,7.8,621,393,-20.7,-861,-986
Zyra Zyra,3,2,6%,0,3,0%,2.4,5,35:29:00,6.8,656,358,22.7,437,773
Kindred Kindred,2,3,6%,1,1,50%,3,6.7,33:55:00,7.3,528,357,20.5,270,486
Yasuo Yasuo,3,1,5%,2,1,67%,4,7,33:43:00,8.6,511,423,-1.3,284,344
Caitlyn Caitlyn,3,0,4%,1,2,33%,5.8,-,34:14:00,10.2,590,432,7,-207,322
Jinx Jinx,2,1,4%,0,2,0%,3.7,3,38:31:00,10.2,560,418,19,391,670
Kennen Kennen,3,0,4%,1,2,33%,3.5,-,38:17:00,8.2,610,382,2.3,-385,-503
Twitch Twitch,1,2,4%,1,0,100%,17,9.5,33:11:00,9.8,940,498,-15,323,57
Urgot Urgot,2,1,4%,1,1,50%,2.3,9,38:01:00,8.9,649,443,-4.5,197,73
Camille Camille,3,0,4%,2,1,67%,4.8,-,33:54:00,8.5,400,421,2.7,-173,-401
Seraphine Seraphine,1,2,4%,1,0,100%,-,1,31:48:00,7.6,478,376,2,311,487
Blitzcrank Blitzcrank,0,2,3%,,,,,7.5,,,,,,,
Jarvan IV Jarvan IV,1,1,3%,1,0,100%,6.3,5,33:07:00,6.2,397,411,-28,-563,-964
Lulu Lulu,1,1,3%,1,0,100%,12,7,38:08:00,0.8,193,254,-1,-771,-274
Nami Nami,1,1,3%,0,1,0%,12,8,42:14:00,1.1,259,217,3,116,20
Nunu Nunu,2,0,3%,1,1,50%,4.2,-,32:10:00,6.7,306,360,-11.5,-862,-574
Sion Sion,2,0,3%,1,1,50%,1.4,-,29:11:00,8.2,377,348,25.5,789,272
Bard Bard,1,1,3%,1,0,100%,-,8,31:57:00,1.8,152,266,10,511,790
Tahm Kench Tahm Kench,1,1,3%,0,1,0%,0.5,10,38:08:00,0.7,202,224,1,771,274
Pyke Pyke,2,0,3%,2,0,100%,6,-,35:30:00,1.1,215,286,-1.5,798,584
Viego Viego,1,1,3%,0,1,0%,0,10,33:45:00,7.1,123,306,11,-249,378
Zeri Zeri,2,0,3%,1,1,50%,4,-,39:47:00,10.1,950,441,10.5,497,-290
Darius Darius,1,0,1%,0,1,0%,1.3,-,33:28:00,7.6,414,348,-15,-952,-1226
Elise Elise,1,0,1%,0,1,0%,6,-,31:37:00,6.3,299,307,0,-313,258
Fiddlesticks Fiddlesticks,1,0,1%,0,1,0%,1.5,-,30:12:00,6.1,287,310,5,475,5
Jayce Jayce,1,0,1%,1,0,100%,7,-,28:09:00,8.2,1063,478,27,1544,1302
Kassadin Kassadin,1,0,1%,1,0,100%,-,-,26:35:00,10.2,749,505,-1,1461,731
Lee Sin Lee Sin,1,0,1%,1,0,100%,3.3,-,43:04:00,5.3,361,329,14,417,909
Lux Lux,1,0,1%,0,1,0%,3.2,-,43:04:00,1.3,408,239,6,182,220
Morgana Morgana,1,0,1%,1,0,100%,7.5,-,35:05:00,5.8,404,323,13,633,1061
Ryze Ryze,1,0,1%,0,1,0%,4.3,-,34:38:00,9.5,774,397,3,-13,538
Swain Swain,1,0,1%,0,1,0%,1.3,-,26:31:00,9.3,490,372,-9,-444,93
Taric Taric,1,0,1%,0,1,0%,2.3,-,34:38:00,1.2,80,237,4,-876,106
Taliyah Taliyah,0,1,1%,,,,,7,,,,,,,
Kled Kled,1,0,1%,0,1,0%,1,-,29:06:00,8.5,430,344,-7,-995,1
Senna Senna,1,0,1%,0,1,0%,4,-,32:35:00,1.5,356,287,12,125,1067
Sett Sett,1,0,1%,0,1,0%,0.7,-,30:12:00,8.7,330,361,-12,-191,616
Lillia Lillia,1,0,1%,0,1,0%,4,-,45:40:00,6.7,386,347,-7,-865,-495
Hwei Hwei,1,0,1%,1,0,100%,19,-,37:44:00,7.2,778,442,-11,-26,-727
Aatrox Aatrox,0,0,0%,,,,,-,,,,,,,
Anivia Anivia,0,0,0%,,,,,-,,,,,,,
Annie Annie,0,0,0%,,,,,-,,,,,,,
Chogath Chogath,0,0,0%,,,,,-,,,,,,,
Corki Corki,0,0,0%,,,,,-,,,,,,,
Diana Diana,0,0,0%,,,,,-,,,,,,,
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,
Evelynn Evelynn,0,0,0%,,,,,-,,,,,,,
Fiora Fiora,0,0,0%,,,,,-,,,,,,,
Fizz Fizz,0,0,0%,,,,,-,,,,,,,
Gangplank Gangplank,0,0,0%,,,,,-,,,,,,,
Garen Garen,0,0,0%,,,,,-,,,,,,,
Graves Graves,0,0,0%,,,,,-,,,,,,,
Hecarim Hecarim,0,0,0%,,,,,-,,,,,,,
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,
Irelia Irelia,0,0,0%,,,,,-,,,,,,,
Janna Janna,0,0,0%,,,,,-,,,,,,,
Karma Karma,0,0,0%,,,,,-,,,,,,,
Karthus Karthus,0,0,0%,,,,,-,,,,,,,
Katarina Katarina,0,0,0%,,,,,-,,,,,,,
Kayle Kayle,0,0,0%,,,,,-,,,,,,,
KhaZix KhaZix,0,0,0%,,,,,-,,,,,,,
KogMaw KogMaw,0,0,0%,,,,,-,,,,,,,
Lissandra Lissandra,0,0,0%,,,,,-,,,,,,,
Malphite Malphite,0,0,0%,,,,,-,,,,,,,
Malzahar Malzahar,0,0,0%,,,,,-,,,,,,,
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,
Mordekaiser Mordekaiser,0,0,0%,,,,,-,,,,,,,
Nasus Nasus,0,0,0%,,,,,-,,,,,,,
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,
Quinn Quinn,0,0,0%,,,,,-,,,,,,,
Rammus Rammus,0,0,0%,,,,,-,,,,,,,
Rengar Rengar,0,0,0%,,,,,-,,,,,,,
Riven Riven,0,0,0%,,,,,-,,,,,,,
Shaco Shaco,0,0,0%,,,,,-,,,,,,,
Shen Shen,0,0,0%,,,,,-,,,,,,,
Singed Singed,0,0,0%,,,,,-,,,,,,,
Sivir Sivir,0,0,0%,,,,,-,,,,,,,
Sona Sona,0,0,0%,,,,,-,,,,,,,
Soraka Soraka,0,0,0%,,,,,-,,,,,,,
Talon Talon,0,0,0%,,,,,-,,,,,,,
Teemo Teemo,0,0,0%,,,,,-,,,,,,,
Thresh Thresh,0,0,0%,,,,,-,,,,,,,
Trundle Trundle,0,0,0%,,,,,-,,,,,,,
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,
Twisted Fate Twisted Fate,0,0,0%,,,,,-,,,,,,,
Udyr Udyr,0,0,0%,,,,,-,,,,,,,
Vayne Vayne,0,0,0%,,,,,-,,,,,,,
Veigar Veigar,0,0,0%,,,,,-,,,,,,,
Viktor Viktor,0,0,0%,,,,,-,,,,,,,
Vladimir Vladimir,0,0,0%,,,,,-,,,,,,,
Volibear Volibear,0,0,0%,,,,,-,,,,,,,
Warwick Warwick,0,0,0%,,,,,-,,,,,,,
Xerath Xerath,0,0,0%,,,,,-,,,,,,,
Yorick Yorick,0,0,0%,,,,,-,,,,,,,
Zac Zac,0,0,0%,,,,,-,,,,,,,
Zed Zed,0,0,0%,,,,,-,,,,,,,
Zilean Zilean,0,0,0%,,,,,-,,,,,,,
Azir Azir,0,0,0%,,,,,-,,,,,,,
RekSai RekSai,0,0,0%,,,,,-,,,,,,,
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,
Ekko Ekko,0,0,0%,,,,,-,,,,,,,
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,
Kayn Kayn,0,0,0%,,,,,-,,,,,,,
Ornn Ornn,0,0,0%,,,,,-,,,,,,,
Zoe Zoe,0,0,0%,,,,,-,,,,,,,
Yuumi Yuumi,0,0,0%,,,,,-,,,,,,,
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,
Samira Samira,0,0,0%,,,,,-,,,,,,,
Gwen Gwen,0,0,0%,,,,,-,,,,,,,
Akshan Akshan,0,0,0%,,,,,-,,,,,,,
Vex Vex,0,0,0%,,,,,-,,,,,,,
Belveth Belveth,0,0,0%,,,,,-,,,,,,,
Nilah Nilah,0,0,0%,,,,,-,,,,,,,
Milio Milio,0,0,0%,,,,,-,,,,,,,
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,
Briar Briar,0,0,0%,,,,,-,,,,,,,
